#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
548	IPR001563	Peptidase S10, serine carboxypeptidase	HMMPfam	PF00450	Serine carboxypeptidase	1	140,	548,	4.1E-126
548	IPR008442	Propeptide, carboxypeptidase Y	HMMPfam	PF05388	Carboxypeptidase Y pro-peptide	1	1,	89,	2.5E-6
548	IPR001563	Peptidase S10, serine carboxypeptidase	PRINTS	PR00724	Carboxypeptidase C serine protease (S10) family signature	4	207,220,252,518,	219,230,277,531,	1.7E-25,1.7E-25,1.7E-25,1.7E-25
548	IPR018202	Peptidase S10, serine carboxypeptidase, active site	ProSitePatterns	PS00131	Serine carboxypeptidases, serine active site.	1	266,	273,	-
548	IPR018202	Peptidase S10, serine carboxypeptidase, active site	ProSitePatterns	PS00560	Serine carboxypeptidases, histidine active site.	1	518,	535,	-
548	IPR029058	Alpha/Beta hydrolase fold	SUPERFAMILY	SSF53474	\N	1	140,	548,	9.7E-135
1318	IPR005061	Domain of unknown function DUF292, eukaryotic	HMMPfam	PF03398	Regulator of Vps4 activity in the MVB pathway	1	11,	173,	1.6E-65
1467	IPR001715	Calponin homology domain	HMMPfam	PF00307	Calponin homology (CH) domain	1	112,	210,	3.6E-10
1467	IPR000048	IQ motif, EF-hand binding site	HMMPfam	PF00612	IQ calmodulin-binding motif	1	353,	370,	0.016
1467	IPR001936	Ras GTPase-activating protein	HMMPfam	PF00616	GTPase-activator protein for Ras-like GTPase	1	834,	1039,	5.8E-39
1467	IPR000593	RasGAP protein, C-terminal	HMMPfam	PF03836	RasGAP C-terminus	1	1258,	1402,	5.2E-45
1467	IPR001936	Ras GTPase-activating protein	ProSiteProfiles	PS50018	Ras GTPase-activating proteins profile.	1	824,	1039,	22.97
1467	IPR001715	Calponin homology domain	ProSiteProfiles	PS50021	Calponin homology domain profile.	1	115,	213,	13.0
1467	IPR000048	IQ motif, EF-hand binding site	ProSiteProfiles	PS50096	IQ motif profile.	6	289,349,411,439,497,617,	318,377,436,466,526,646,	7.858,9.78,6.54,7.254,8.041,6.925
1467	IPR000048	IQ motif, EF-hand binding site	SMART	SM00015	Short calmodulin-binding motif containing conserved Ile and Gln residues.	8	288,348,406,466,496,556,586,616,	310,370,428,488,518,578,608,638,	270.0,3.5,420.0,42.0,19.0,220.0,300.0,29.0
1467	IPR001715	Calponin homology domain	SMART	SM00033	Calponin homology domain	1	109,	209,	8.2E-15
1467	IPR001936	Ras GTPase-activating protein	SMART	SM00323	GTPase-activator protein for Ras-like GTPases	1	799,	1147,	3.9E-8
1467	\N	\N	SUPERFAMILY	SSF143885	\N	1	1379,	1478,	1.1E-29
1467	IPR001715	Calponin homology domain	SUPERFAMILY	SSF47576	\N	1	99,	255,	9.54E-42
1467	IPR008936	Rho GTPase activation protein	SUPERFAMILY	SSF48350	\N	2	775,935,	903,1135,	2.55E-62,2.55E-62
1755	IPR003137	Protease-associated domain, PA	HMMPfam	PF02225	PA domain	1	160,	229,	1.9E-8
1755	IPR007365	Transferrin receptor-like, dimerisation domain	HMMPfam	PF04253	Transferrin receptor-like dimerisation domain	1	632,	757,	3.2E-19
1755	IPR007484	Peptidase M28	HMMPfam	PF04389	Peptidase family M28	1	364,	540,	6.1E-19
1755	IPR007365	Transferrin receptor-like, dimerisation domain	SUPERFAMILY	SSF47672	\N	1	575,	758,	3.14E-33
1755	\N	\N	SUPERFAMILY	SSF52025	\N	1	109,	352,	3.14E-76
1755	\N	\N	SUPERFAMILY	SSF53187	\N	2	63,334,	103,571,	7.55E-70,7.55E-70
3177	IPR011417	AP180 N-terminal homology (ANTH) domain	HMMPfam	PF07651	ANTH domain	1	43,	299,	2.0E-46
3177	IPR013809	ENTH  domain	ProSiteProfiles	PS50942	ENTH domain profile.	1	22,	157,	9.532
3177	IPR008942	ENTH/VHS	SUPERFAMILY	SSF48464	\N	1	42,	159,	9.48E-16
